package	rank	percentile
mysqlclient	364	78.93596845826346
virtualenv-clone	365	78.98123884194086
statsmodels	366	79.02644871840606
apipkg	367	79.07155814919071
azure-mgmt-storage	368	79.11636238629418
querystring-parser	369	79.16113647486027
ua-parser	370	79.20541078250628
python-gflags	371	79.24962143087897
pytest-mock	372	79.29374431598168
arrow	373	79.33761189649587
discord	374	79.38129954994554
billiard	375	79.42482198594918
python-http-client	376	79.46777452930495
inflection	377	79.5107071961342
tox	378	79.55355663618926
azure-identity	379	79.5962171132713
pipenv	380	79.63871426414396
crcmod	381	79.68088112845687
vine	382	79.7227875954394
gorilla	383	79.76455545826045
fastavro	384	79.80595360285534
jsonpointer	385	79.84730245168676
pendulum	386	79.88860212836494
keras	387	79.9296690716843
aiobotocore	388	79.97069492696008
hiredis	389	80.01158057114128
seaborn	390	80.05241211112067
google-cloud-pubsub	391	80.09313976905486
faker	392	80.1336993665075
azure-keyvault	393	80.17416801154596
stevedore	394	80.21451655687581
unicodecsv	395	80.25424216840402
watchdog	396	80.29363609657678
numba	397	80.33292723047441
llvmlite	398	80.37208680599423
apache-beam	399	80.41104463724227
blessings	400	80.44998497764142
colorlog	401	80.48886865510681
ndg-httpsclient	402	80.52771089841997
cssselect	403	80.56654989078382
sendgrid	404	80.60534976050687
pytzdata	405	80.64407132314327
aioitertools	406	80.68262721097574
deprecated	407	80.72108920447033
responses	408	80.75940183971262
addict	409	80.79736452200606
retry	410	80.83504256700117
statsd	411	80.87264806514675
emoji	412	80.91023258663469
python-daemon	413	80.94765501801567
asgiref	414	80.98503044042258
kazoo	415	81.02187603226022
service-identity	416	81.05859215473309
mozdevice	417	81.09504266352346
sphinxcontrib-serializinghtml	418	81.13132822681033
mozinfo	419	81.1669097556175
jsonpatch	420	81.20245816924151
mozprocess	421	81.23795322032517
iso8601	422	81.27327721955949
flask-cors	423	81.308401514091
pywavelets	424	81.34312121994782
fasteners	425	81.37777119726857
functools32	426	81.41241740447701
deepdiff	427	81.44685437663318
azure-storage-queue	428	81.48126901241908
torch	429	81.51566170738748
patsy	430	81.54998634255804
mozprofile	431	81.58428493305117
mysql-connector-python	432	81.6184618416246
maxminddb	433	81.65252730320614
azure-mgmt-containerregistry	434	81.68657829002865
aniso8601	435	81.72047473932983
zope-event	436	81.75431523027561
python-levenshtein	437	81.78805476873885
pyhamcrest	438	81.82172073438758
freezegun	439	81.85519378153563
cachecontrol	440	81.88862167386321
azure-mgmt-keyvault	441	81.92189452186747
raven	442	81.95494010008552
pydantic	443	81.98794796481951
flask-sqlalchemy	444	82.0207396105227
texttable	445	82.0534950260647
avro-python3	446	82.08617867350169
mozfile	447	82.11870238164987
identify	448	82.15112727577265
nodeenv	449	82.18345587751892
python-magic	450	82.21553547879887
tldextract	451	82.24749851562304
pathtools	452	82.27945497638247
requests-file	453	82.31139950875381
sphinxcontrib-applehelp	454	82.34304994764346
sphinxcontrib-devhelp	455	82.37467423060647
sphinxcontrib-htmlhelp	456	82.40629772246395
sphinxcontrib-qthelp	457	82.43789456395379
sphinxcontrib-jsmath	458	82.46926767091027
ordered-set	459	82.5005472543596
mozterm	460	82.5317774184352
azure-datalake-store	461	82.5629909074895
blinker	462	82.59418117017981
lightgbm	463	82.62525122191228
dask	464	82.65630194100329
cfgv	465	82.68729629382513
azure-mgmt-authorization	466	82.71827709896472
azure-graphrbac	467	82.74919962187643
imageio	468	82.77995083335729
azure-cosmosdb-table	469	82.81061969569666
google-cloud-bigquery-storage	470	82.84116410724697
backoff	471	82.87139969097507
pre-commit	472	82.90146349355344
hvac	473	82.93134129980453
azure-cosmosdb-nspkg	474	82.96062922563203
pycurl	475	82.9898023669912
pymssql	476	83.01861042550819
prettytable	477	83.04738726007871
requests-aws4auth	478	83.07615472499307
geoip2	479	83.10492186852082
scikit-image	480	83.13363940725948
grpcio-tools	481	83.16228065375837
pydot	482	83.19065543366412
azure-mgmt-nspkg	483	83.21890706068831
python-json-logger	484	83.2468542974979
backports-weakref	485	83.27473237437853
google-cloud	486	83.3025445917236
docker-pycreds	487	83.33023703074666
python-slugify	488	83.35785206503778
configobj	489	83.38545981868579
confluent-kafka	490	83.41304847455181
croniter	491	83.44056172817179
aws-xray-sdk	492	83.46795933205175
typeguard	493	83.49513665012401
pyproj	494	83.52224359688697
humanize	495	83.54932395508743
ephem	496	83.57637794722382
hyperlink	497	83.60342664884195
fluidattacks	498	83.63042600525252
jsondiff	499	83.65740970024572
natsort	500	83.6842475227954
constantly	501	83.71087392239154
google-cloud-datastore	502	83.73743192844219
automat	503	83.76393235684334
